9
22408,	37.6,	-48.8,	1050.9
22500,	35.4,	-49.2,	1053.2
22592,	35.4,	-48.7,	1052.0
22683,	37.4,	-48.4,	1015.0
22775,	36.3,	-51.3,	964.1
22878,	36.4,	-50.5,	1052.0
22970,	38.2,	-51.1,	1050.9
23062,	40.4,	-51.3,	1050.9
23154,	36.5,	-50.8,	1002.3
23246,	39.3,	-51.0,	1046.2
23339,	39.2,	-51.4,	1017.3
23431,	40.1,	-52.1,	1049.7
23522,	36.1,	-51.2,	1053.2
23614,	38.7,	-52.5,	1019.6
23706,	41.3,	-53.1,	1037.0
23798,	37.9,	-52.3,	998.8
23890,	40.2,	-54.0,	1053.2
23993,	38.0,	-52.3,	1050.9
24085,	42.9,	-54.1,	1050.9
24177,	41.4,	-52.9,	937.4
24269,	42.8,	-52.8,	1049.7
24361,	40.2,	-52.5,	1050.9
24454,	43.1,	-54.0,	1049.7
24546,	43.4,	-52.5,	993.0
24637,	38.9,	-53.0,	931.7
24729,	43.7,	-54.2,	1050.9
24821,	44.7,	-54.2,	1053.2
24913,	45.3,	-55.2,	1052.0
25006,	42.9,	-53.4,	998.8
25108,	46.2,	-54.1,	987.2
25200,	42.1,	-55.2,	1053.2
25292,	45.0,	-54.9,	1050.9
25383,	47.0,	-54.7,	1050.9
25476,	44.2,	-54.6,	956.0
25568,	44.9,	-56.3,	980.3
25660,	44.9,	-55.6,	1040.4
25752,	47.8,	-56.3,	1049.7
25844,	45.1,	-56.6,	1050.9
25936,	45.2,	-58.4,	959.4
26029,	48.9,	-56.3,	975.6
26121,	47.0,	-57.2,	1027.7
26223,	47.7,	-55.5,	1050.9
26315,	49.5,	-56.0,	1053.2
26406,	48.0,	-57.2,	998.8
26499,	47.1,	-58.1,	954.8
26591,	50.4,	-57.6,	1050.9
26683,	48.8,	-58.1,	1053.2
26775,	47.9,	-59.9,	1052.0
26867,	48.0,	-59.9,	1021.9
26959,	49.3,	-59.5,	932.8
27052,	50.7,	-59.5,	1053.2
27144,	48.5,	-60.3,	1052.0
27236,	50.7,	-59.0,	1049.7
27338,	50.0,	-60.5,	995.3
27429,	51.5,	-60.6,	1015.0
27522,	54.0,	-62.0,	1050.9
27614,	51.5,	-60.1,	1050.9
27706,	49.1,	-61.2,	1052.0
27798,	52.6,	-60.4,	925.9
27890,	53.2,	-61.9,	1005.7
27982,	51.6,	-61.0,	1050.9
28075,	53.6,	-61.6,	1054.3
28167,	54.2,	-62.3,	1050.9
28259,	50.3,	-59.2,	949.0
28351,	54.1,	-63.4,	1006.9
28453,	55.4,	-61.3,	1050.9
28545,	54.2,	-61.3,	905.0
28637,	55.0,	-59.9,	946.7
28729,	54.9,	-63.3,	954.8
28821,	55.1,	-63.4,	972.2
28913,	55.4,	-62.7,	988.4
29005,	58.9,	-67.2,	1003.4
29097,	55.0,	-64.2,	1019.6
29190,	56.2,	-64.0,	1032.3
29282,	5
